,Movie_Title,Runtime_Minute,Rating,Metascore,Votes
0,Loki,0,8.9,0,72.588
1,The Tomorrow War,140,6.7,45,76.124
2,Sex/Life,0,5.5,0,6.325
3,F9,143,5.5,58,28.495
4,The Many Saints of Newark,0,0.0,0,0.0
5,Luca,95,7.5,71,55.615
6,Fear Street,107,6.2,67,19.97
7,The Ice Road,109,5.5,42,13.84
8,No Sudden Move,115,6.6,77,8.547
9,Black Widow,133,7.1,68,43.552
10,In the Heights,143,7.5,84,25.231
11,Cruella,134,7.4,59,88.042
12,Mare of Easttown,410,8.5,0,69.716
13,Sweet Tooth,0,8.0,0,30.508
14,Good on Paper,92,5.6,54,6.068
15,X-Ray: Selected Satyajit Shorts,65,7.4,0,5.618
16,Raya and the Last Dragon,107,7.4,75,92.839
17,Fatherhood,109,6.7,53,20.274
18,Jolt,0,0.0,0,0.0
19,The Suicide Squad,0,0.0,0,0.0
20,The Mysterious Benedict Society,0,7.7,0,797.0
21,Nobody,92,7.4,64,119.036
22,Hitman's Wife's Bodyguard,100,6.3,32,12.967
23,The Boss Baby: Family Business,107,6.0,40,3.638
24,Katla,0,7.1,0,6.347
25,Physical,0,7.1,0,1.71
26,The Forever Purge,103,5.9,54,2.125
27,The Conjuring: The Devil Made Me Do It,112,6.3,53,62.431
28,Shang-Chi and the Legend of the Ten Rings,0,0.0,0,0.0
29,America: The Motion Picture,98,5.7,38,3.052
30,Wrath of Man,119,7.2,57,71.447
31,Lupin,45,7.5,0,78.877
32,Infinite,106,5.4,28,17.426
33,Foundation,0,0.0,0,0.0
34,False Positive,92,4.6,54,2.507
35,Till Death,88,5.8,66,3.311
36,Star Wars: The Bad Batch,0,8.3,0,11.28
37,Kevin Can F**k Himself,0,6.5,0,2.279
38,The Little Things,128,6.3,54,65.83
39,Sing 2,0,0.0,0,0.0
40,WandaVision,350,8.0,0,192.218
41,iCarly,26,7.1,0,1.958
42,Gaia,96,5.4,64,1.521
43,Time,59,8.4,0,8.655
44,Clarkson's Farm,45,9.3,0,13.626
45,Invincible,364,8.8,0,72.756
46,Don't Breathe 2,0,0.0,0,0.0
47,Superman and Lois,42,7.9,0,15.706
48,Grahan,0,8.7,0,3.783
49,Army of the Dead,148,5.8,57,125.959
